N_event,t_trig,tP3
280520,99916.776,32
280547,99925.079,364
280958,100061.107,884
281193,100150.32,664
281204,100155.535,1206
281542,100275.739,15
282381,100582.609,630
282487,100615.984,971
282538,100632.8,45
282572,100645.951,935
282716,100695.102,222
282839,100742.348,296
283202,100871.992,1001
283702,101040.258,313
283891,101112.847,479
284022,101160.75,795
284063,101172.777,212
284109,101190.573,11
284639,101369.207,125
284878,101453.38,135
284883,101455.028,2330
285014,101498.451,145
285107,101530.849,9
285474,101663.31,94
285803,101775.898,705
285987,101836.696,63
286080,101864.023,745
286551,102040.929,951
286656,102079.264,331
286716,102097.2,554
287585,102406.949,464
287752,102470.643,2800
287795,102483.123,252
287892,102516.13,163
287915,102527.586,1063
287979,102549.201,47
288161,102613.072,18
288496,102737.803,220
